,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
473,Yannick Cahuzac,fr FRA,MF,Toulouse,fr Ligue 1,32,1985,20,1518,76,44.4,16.9,18,80,13,2,40,12,1.20,14,21,-7,-0.42,+0.01,19.2,22.6,-3.4,-0.20,-0.05,Matches,677ee102
474,Aldo Caiazza,it ITA,DF,Udinese,it Serie A,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,24eb64e4
475,Felipe Caicedo,ec ECU,FWMF,Lazio,it Serie A,28,1988,22,717,33,21.0,8.0,4,,3,18,,12,1.91,20,15,+5,+0.63,-0.54,16.4,11.2,+5.2,+0.66,+0.17,Matches,93b891d1
476,Marc-Aurèle Caillard,fr FRA,GK,Guingamp,fr Ligue 1,23,1994,0,,,,,0,,0,0,,32,,,,,,,,,,,,Matches,5ee6e943
477,Caiuby,br BRA,FW,Augsburg,de Bundesliga,29,1988,33,2855,87,93.3,31.7,32,,28,1,,0,1.24,42,44,-2,-0.06,+0.38,43.2,38.3,+5.0,+0.16,+0.89,Matches,c6637acf
478,Cala,es ESP,DF,Getafe,es La Liga,27,1989,20,1800,90,52.6,20.0,20,90,20,0,,2,1.25,25,21,+4,+0.20,-0.08,26.6,23.2,+3.3,+0.17,-0.12,Matches,fe05804b
479,Davide Calabria,it ITA,DF,Milan,it Serie A,20,1996,21,1564,74,45.7,17.4,18,,15,3,,11,1.95,26,18,+8,+0.46,+0.17,24.9,16.8,+8.1,+0.47,+0.17,Matches,2146785a
480,Mattia Caldara,it ITA,DF,Atalanta,it Serie A,23,1994,24,2160,90,63.2,24.0,24,,24,0,,8,1.75,39,24,+15,+0.62,+0.41,38.7,24.4,+14.3,+0.59,-0.35,Matches,ac7e640b
481,Carlos Calderón,es ESP,MF,Getafe,es La Liga,22,1995,1,4,4,0.1,0.0,0,,0,1,4,1,1.00,0,0,0,0.00,-0.24,0.0,0.1,-0.1,-1.75,-1.98,Matches,4e2c27bb
482,Luca Caldirola,it ITA,DF,Werder Bremen,de Bundesliga,26,1991,1,90,90,2.9,1.0,1,,1,0,,15,1.00,1,1,0,0.00,+0.09,0.9,1.0,0.0,-0.05,+0.14,Matches,226008f1
483,Hakan Çalhanoğlu,tr TUR,FWMF,Milan,it Serie A,23,1994,31,2172,70,63.5,24.1,25,,15,6,,2,1.90,43,20,+23,+0.95,+1.60,36.2,19.9,+16.3,+0.68,+0.82,Matches,cd0fa27b
484,Fabrizio Caligara,it ITA,MF,Cagliari,it Serie A,17,2000,1,18,18,0.5,0.2,0,,0,1,,12,1.50,1,1,0,0.00,+0.74,0.0,0.3,-0.3,-1.43,-0.92,Matches,22ca11f1
485,Fabrizio Caligara,it ITA,MF,Juventus,it Serie A,17,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,22ca11f1
486,Daniel Caligiuri,it ITA,DFMF,Schalke 04,de Bundesliga,29,1988,33,2917,88,95.3,32.4,32,,31,1,,0,1.88,51,35,+16,+0.49,+0.49,45.0,38.8,+6.2,+0.19,-0.06,Matches,d1273f09
487,Lorenzo Callegari,fr FRA,MF,Paris S-G,fr Ligue 1,19,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,f5aa537a
488,José Callejón,es ESP,FW,Napoli,it Serie A,30,1987,38,3238,85,94.7,36.0,38,,22,0,,0,2.39,73,26,+47,+1.31,+0.81,63.8,23.6,+40.2,+1.12,+1.19,Matches,78841da9
489,Jonathan Calleri,ar ARG,FW,Las Palmas,es La Liga,23,1993,37,3109,84,90.9,34.5,34,89,29,3,33,0,0.59,21,67,-46,-1.33,-0.17,35.4,63.3,-27.9,-0.81,+0.39,Matches,6922f806
490,Jan-Ingwer Callsen-Bracker,de GER,DF,Augsburg,de Bundesliga,32,1984,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,0999a593
491,Simone Calvano,it ITA,MF,Hellas Verona,it Serie A,24,1993,15,644,43,18.8,7.2,7,,2,8,,6,0.67,3,20,-17,-2.38,-1.37,3.6,16.2,-12.5,-1.75,-0.95,Matches,9dabfcf5
492,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,20,1997,32,1882,59,55.0,20.9,18,,13,14,,1,1.25,26,29,-3,-0.14,+0.50,23.9,29.0,-5.1,-0.24,+0.15,Matches,59e6e5bf
493,Ignacio Camacho,es ESP,MFDF,Wolfsburg,de Bundesliga,27,1990,11,951,86,31.1,10.6,11,,9,0,,0,1.18,10,12,-2,-0.19,+0.24,9.7,13.8,-4.0,-0.38,+0.21,Matches,8ed9b33a
494,Rafael Camacho,pt POR,FWMF,Liverpool,eng Premier League,17,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,91b43c98
495,Abdoul Camara,gn GUI,FWMF,Guingamp,fr Ligue 1,27,1990,14,888,63,26.0,9.9,12,73,3,2,8,2,1.07,6,19,-13,-1.32,-1.39,8.7,11.5,-2.8,-0.28,-0.25,Matches,07296190
496,Mahdi Camara,fr FRA,MF,Saint-Étienne,fr Ligue 1,19,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,8577e60a
497,Souleymane Camara,sn SEN,FW,Montpellier,fr Ligue 1,34,1982,24,934,39,27.3,10.4,8,77,2,16,20,11,1.08,11,9,+2,+0.19,+0.16,10.7,10.9,-0.3,-0.03,-0.17,Matches,c58270f8
498,Víctor Camarasa,es ESP,MF,Betis,es La Liga,23,1994,24,1252,52,36.6,13.9,14,70,2,10,27,9,1.38,17,27,-10,-0.72,-1.09,16.3,19.8,-3.5,-0.25,-0.27,Matches,b2d03887
499,Geoff Cameron,us USA,DFMF,Stoke City,eng Premier League,32,1985,20,1525,76,44.6,16.9,17,,14,3,,8,0.90,15,31,-16,-0.94,-0.14,16.9,28.2,-11.4,-0.67,+0.02,Matches,1a160ea3
500,José Campaña,es ESP,MF,Levante,es La Liga,24,1993,35,2734,78,79.9,30.4,33,82,22,2,13,1,1.29,36,46,-10,-0.33,+0.20,33.4,50.7,-17.2,-0.56,-0.35,Matches,61220da2
501,Joel Campbell,cr CRC,MFFW,Betis,es La Liga,25,1992,8,214,27,6.3,2.4,2,76,1,6,11,6,1.63,8,5,+3,+1.26,+1.37,4.3,2.5,+1.9,+0.79,+0.93,Matches,895ff3ca
502,Tyrese Campbell,eng ENG,FW,Stoke City,eng Premier League,17,1999,4,79,20,2.3,0.9,0,,0,4,,4,0.50,0,2,-2,-2.28,-1.44,0.9,2.2,-1.3,-1.50,-0.84,Matches,38aefb74
503,Michele Camporese,it ITA,DF,Benevento,it Serie A,25,1992,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,035c1d09
504,Emre Can,de GER,MF,Liverpool,eng Premier League,23,1994,26,2091,80,61.1,23.2,24,,19,2,,3,2.08,56,29,+27,+1.16,-0.12,46.5,23.7,+22.8,+0.98,-0.13,Matches,a65ce836
505,Sergio Canales,es ESP,MFFW,Real Sociedad,es La Liga,26,1991,36,1928,54,56.4,21.4,20,78,10,16,22,1,1.33,36,32,+4,+0.19,+0.01,29.5,29.2,+0.3,+0.01,-0.15,Matches,a6de370d
506,João Cancelo,pt POR,DF,Inter,it Serie A,23,1994,26,1851,71,54.1,20.6,20,,18,6,,6,1.73,33,16,+17,+0.83,-0.26,30.5,18.2,+12.4,+0.60,+0.19,Matches,bd6351cd
507,João Cancelo,pt POR,MF,Valencia,es La Liga,23,1994,1,90,90,2.6,1.0,1,90,1,0,,0,3.00,1,0,+1,+1.00,+0.30,1.4,0.2,+1.2,+1.20,+1.02,Matches,bd6351cd
508,Thomas Candeloro,ch SUI,GK,Benevento,it Serie A,17,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,099bac75
509,Antonio Candreva,it ITA,FW,Inter,it Serie A,30,1987,36,2537,70,74.2,28.2,33,,9,3,,2,1.89,49,26,+23,+0.82,-0.51,39.3,29.7,+9.6,+0.34,-0.68,Matches,356c9002
510,Paolo Cannavaro,it ITA,DF,Sassuolo,it Serie A,36,1981,19,1443,76,42.2,16.0,16,,16,3,,0,1.11,9,28,-19,-1.19,-0.68,20.3,23.9,-3.6,-0.22,-0.27,Matches,46ed55b6
511,Ander Cantero,es ESP,GK,Villarreal,es La Liga,22,1995,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches,de9bccf3
512,Ander Capa,es ESP,DF,Eibar,es La Liga,25,1992,33,2249,68,65.8,25.0,25,85,20,8,15,3,1.36,28,36,-8,-0.32,-0.47,27.1,29.6,-2.5,-0.10,-0.02,Matches,37f1cf47
513,Pierrick Capelle,fr FRA,MF,Angers,fr Ligue 1,30,1987,28,1884,67,55.1,20.9,23,77,7,5,24,0,1.18,24,27,-3,-0.14,+0.27,27.7,22.6,+5.0,+0.24,+0.43,Matches,79b2399c
514,Leonardo Capezzi,it ITA,MF,Sampdoria,it Serie A,22,1995,6,214,36,6.3,2.4,2,,1,4,,30,2.00,4,5,-1,-0.42,-0.34,3.3,3.7,-0.4,-0.16,+0.01,Matches,07ea0ef2
515,Étienne Capoue,fr FRA,MF,Watford,eng Premier League,29,1988,23,1542,67,45.1,17.1,18,,13,5,,13,1.13,15,29,-14,-0.82,-0.53,18.5,23.3,-4.8,-0.28,-0.18,Matches,5acc4a10
516,Elio Capradossi,it ITA,DF,Roma,it Serie A,21,1996,2,83,42,2.4,0.9,1,,0,1,,14,3.00,1,0,+1,+1.08,+0.22,1.2,0.5,+0.6,+0.68,-0.01,Matches,174944a3
517,Gianluca Caprari,it ITA,FWMF,Sampdoria,it Serie A,24,1993,34,1809,53,52.9,20.1,19,,5,15,,3,1.38,25,28,-3,-0.15,-0.09,28.8,30.4,-1.5,-0.08,+0.22,Matches,54e53b7e
518,Marco Capuano,it ITA,DF,Crotone,it Serie A,25,1991,16,1407,88,41.1,15.6,16,,15,0,,0,1.25,26,22,+4,+0.26,+1.60,17.6,19.7,-2.1,-0.13,+0.85,Matches,616aea37
519,Marco Capuano,it ITA,DF,Cagliari,it Serie A,25,1991,9,690,77,20.2,7.7,7,,7,2,,10,1.11,6,12,-6,-0.78,-0.06,7.7,12.9,-5.1,-0.67,-0.20,Matches,616aea37
520,Antonio Caracciolo,it ITA,DF,Hellas Verona,it Serie A,27,1990,33,2857,87,83.5,31.7,32,,31,1,,4,0.73,27,64,-37,-1.17,+0.59,28.4,58.1,-29.8,-0.94,+0.24,Matches,99d8fc35
521,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,23,1994,10,900,90,26.3,10.0,10,90,10,0,,26,1.00,13,16,-3,-0.30,-0.44,15.5,11.5,+4.0,+0.40,+0.55,Matches,950ff24d
522,Diego Carlos,br BRA,DF,Nantes,fr Ligue 1,24,1993,28,2291,82,67.0,25.5,27,85,23,1,7,0,1.21,23,31,-8,-0.31,-0.55,27.9,26.5,+1.5,+0.06,-0.12,Matches,b4a014b1
523,José Carlos,es ESP,MF,Málaga,es La Liga,18,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,766d9c80
524,Lionel Carole,fr FRA,DF,Sevilla,es La Liga,26,1991,6,540,90,15.8,6.0,6,90,6,0,,4,1.00,4,11,-7,-1.17,-1.10,7.0,10.1,-3.1,-0.52,-0.78,Matches,5b5724d2
525,Yannick Carrasco,be BEL,MFFW,Atlético Madrid,es La Liga,23,1993,17,901,53,26.3,10.0,8,75,3,9,33,4,2.29,21,5,+16,+1.60,+0.88,14.9,9.4,+5.5,+0.55,+0.23,Matches,de39485a
526,Michael Carrick,eng ENG,MF,Manchester Utd,eng Premier League,36,1981,2,109,55,3.2,1.2,1,,0,1,,7,1.50,1,0,+1,+0.83,-0.23,1.3,0.7,+0.6,+0.53,+0.14,Matches,ab7263c1
527,Daniel Carriço,pt POR,DF,Sevilla,es La Liga,28,1988,6,460,77,13.5,5.1,5,90,5,1,10,4,1.67,5,8,-3,-0.59,-0.40,8.7,8.3,+0.4,+0.08,-0.06,Matches,e1deea75
528,André Carrillo,pe PER,FWMF,Watford,eng Premier League,26,1991,28,1540,55,45.0,17.1,16,,8,12,,3,1.14,20,31,-11,-0.64,-0.21,20.8,26.4,-5.7,-0.33,-0.28,Matches,7527558b
529,Guido Carrillo,ar ARG,FW,Southampton,eng Premier League,26,1991,7,450,64,13.2,5.0,5,,2,2,,1,0.86,5,8,-3,-0.60,-0.12,4.5,6.0,-1.5,-0.30,-0.18,Matches,8f898ba8
530,Guido Carrillo,ar ARG,FW,Monaco,fr Ligue 1,26,1991,15,424,28,12.4,4.7,2,75,1,13,21,3,2.27,14,6,+8,+1.70,+0.74,9.7,5.1,+4.5,+0.96,+0.68,Matches,8f898ba8
531,Thomas Carrique,fr FRA,DF,Bordeaux,fr Ligue 1,18,1999,1,90,90,2.6,1.0,1,90,1,0,,4,0.00,0,3,-3,-3.00,-3.22,0.8,1.9,-1.2,-1.18,-1.41,Matches,23b6ab66
532,Andy Carroll,eng ENG,FW,West Ham,eng Premier League,28,1989,16,751,47,22.0,8.3,7,,3,9,,5,1.19,14,12,+2,+0.24,+0.98,11.2,9.9,+1.4,+0.16,+0.83,Matches,b581987a
533,Tom Carroll,eng ENG,MF,Swansea City,eng Premier League,25,1992,37,2570,69,75.1,28.6,28,,20,9,,1,0.89,18,39,-21,-0.74,+0.01,24.4,44.3,-20.0,-0.70,+0.05,Matches,5a1900a4
534,Federico Cartabia,ar ARG,FWMF,La Coruña,es La Liga,24,1993,20,1324,66,38.7,14.7,16,79,3,4,17,1,0.65,17,24,-7,-0.48,+0.86,19.9,19.8,+0.1,+0.01,+0.32,Matches,a8e6bebf
535,Cameron Carter-Vickers,us USA,DF,Tottenham,eng Premier League,19,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,88ced02c
536,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,25,1992,25,2222,89,65.0,24.7,25,89,24,0,,1,2.00,61,30,+31,+1.26,-0.17,57.4,27.8,+29.7,+1.20,+0.26,Matches,4958bfb2
537,Eduardo Carvalho,pt POR,GK,Chelsea,eng Premier League,34,1982,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,81b906e7
538,Casemiro,br BRA,MF,Real Madrid,es La Liga,25,1992,30,2595,87,75.9,28.8,30,87,24,0,,5,2.03,70,33,+37,+1.28,-0.13,60.5,33.4,+27.0,+0.94,-0.72,Matches,4d224fe8
539,Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,30,1986,10,900,90,26.3,10.0,10,90,10,0,,28,2.00,20,11,+9,+0.90,-0.56,20.7,11.3,+9.4,+0.94,-0.23,Matches,58bc7d18
540,Francesco Cassata,it ITA,MF,Sassuolo,it Serie A,20,1997,10,458,46,13.4,5.1,5,,3,5,,25,1.40,7,10,-3,-0.59,+0.23,4.3,8.0,-3.7,-0.72,-0.75,Matches,96960855
541,Timothy Castagne,be BEL,DF,Atalanta,it Serie A,21,1995,20,1500,75,43.9,16.7,17,,12,3,,17,1.80,24,14,+10,+0.60,+0.23,28.4,14.5,+13.9,+0.84,+0.20,Matches,197640fd
542,Leandro Castán,br BRA,DF,Cagliari,it Serie A,30,1986,14,1141,82,33.4,12.7,13,,11,1,,2,0.93,8,25,-17,-1.34,-0.91,10.2,19.2,-9.0,-0.71,-0.30,Matches,019f4d0d
543,Leandro Castán,br BRA,DF,Roma,it Serie A,30,1986,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches,019f4d0d
544,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,25,1992,34,3060,90,100.0,34.0,34,,34,0,,0,0.97,36,48,-12,-0.35,,34.2,52.0,-17.8,-0.52,,Matches,db401046
545,Dani Castellano,es ESP,DF,Las Palmas,es La Liga,29,1987,24,2025,84,59.2,22.5,23,88,20,1,5,5,0.79,19,40,-21,-0.93,+0.94,27.0,38.0,-11.0,-0.49,+0.87,Matches,21d4e122
546,Javi Castellano,es ESP,MF,Las Palmas,es La Liga,29,1987,23,1566,68,45.8,17.4,17,85,12,6,21,9,0.65,10,34,-24,-1.38,-0.12,18.7,33.4,-14.6,-0.84,+0.01,Matches,dac68523
547,Samu Castillejo,es ESP,MFFW,Villarreal,es La Liga,22,1995,30,2074,69,60.6,23.0,25,78,10,5,22,1,1.87,43,27,+16,+0.69,+1.30,36.4,31.8,+4.7,+0.20,+0.52,Matches,130a7a3f
548,Aritz Castro,es ESP,GK,Alavés,es La Liga,19,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,0b006b08
549,Chory Castro,uy URU,MFFW,Málaga,es La Liga,32,1984,26,2061,79,60.3,22.9,26,79,10,0,,2,0.73,18,29,-11,-0.48,+1.24,21.9,30.0,-8.1,-0.35,+0.50,Matches,8cc3d96e
550,Gonzalo Castro,de GER,MF,Dortmund,de Bundesliga,30,1987,19,1206,63,39.4,13.4,16,,9,3,,9,1.74,27,17,+10,+0.75,+0.41,25.0,17.2,+7.9,+0.59,-0.19,Matches,68829001
551,Jonny Castro,es ESP,DF,Celta Vigo,es La Liga,23,1994,36,3202,89,93.6,35.6,36,89,34,0,,0,1.31,55,56,-1,-0.03,-0.03,51.2,49.2,+2.0,+0.06,+1.02,Matches,e28868f3
552,Lucas Castro,ar ARG,MF,Chievo,it Serie A,28,1989,25,1985,79,58.0,22.1,23,,16,2,,3,1.24,26,34,-8,-0.36,+0.58,21.5,28.0,-6.6,-0.30,+0.62,Matches,56b2957b
553,Joel Castro Pereira,pt POR,GK,Manchester Utd,eng Premier League,21,1996,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches,881e5db7
554,Rubén Castro,es ESP,FW,Betis,es La Liga,36,1981,10,359,36,10.5,4.0,3,72,1,7,21,7,1.30,8,8,0,0.00,+0.03,7.2,5.0,+2.1,+0.53,+0.68,Matches,d109f62b
555,Danilo Cataldi,it ITA,MF,Benevento,it Serie A,22,1994,29,2282,79,66.7,25.4,25,,20,4,,4,0.31,15,57,-42,-1.66,-0.94,21.4,50.0,-28.6,-1.13,-0.64,Matches,ba3d3bea
556,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,28,1989,7,523,75,15.3,5.8,5,,5,2,,2,0.86,2,6,-4,-0.69,-0.19,5.3,4.3,+1.0,+0.18,+0.42,Matches,89e4b358
557,Romain Caumet,fr FRA,MF,Montpellier,fr Ligue 1,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,9484067b
558,Diego Cavalieri,br BRA,GK,Crystal Palace,eng Premier League,34,1982,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,84e6ea11
559,Edinson Cavani,uy URU,FW,Paris S-G,fr Ligue 1,30,1987,32,2581,81,75.5,28.7,30,85,20,2,20,0,2.50,93,21,+72,+2.51,+1.76,66.4,24.0,+42.5,+1.48,+0.49,Matches,527f063d
560,Marijan Ćavar,ba BIH,MF,Eint Frankfurt,de Bundesliga,19,1998,1,32,32,1.0,0.4,0,,0,1,,1,0.00,1,3,-2,-5.63,-5.68,0.9,1.3,-0.4,-1.02,-1.04,Matches,33ec696b
561,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,20,1996,12,401,33,11.7,4.5,4,75,1,8,13,11,2.50,7,6,+1,+0.22,-1.24,8.3,6.2,+2.2,+0.48,-0.71,Matches,c0617e2b
562,Federico Ceccherini,it ITA,DF,Crotone,it Serie A,25,1992,37,3229,87,94.4,35.9,37,,34,0,,0,0.92,39,62,-23,-0.64,+0.77,33.3,56.3,-23.0,-0.64,-0.18,Matches,d9624b51
563,Emanuel Cecchini,ar ARG,MFDF,Málaga,es La Liga,20,1996,2,30,15,0.9,0.3,0,,0,2,15,2,0.00,0,1,-1,-3.00,-2.04,0.3,0.8,-0.5,-1.62,-1.08,Matches,5c256395
564,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,35,1982,34,3039,89,88.9,33.8,34,,33,0,,1,1.59,64,48,+16,+0.47,-1.18,60.3,43.1,+17.3,+0.51,-0.25,Matches,71672fa0
565,Ricardo Centurión,ar ARG,MFFW,Genoa,it Serie A,24,1993,3,54,18,1.6,0.6,1,,0,2,,7,1.00,0,2,-2,-3.33,-3.12,0.1,1.0,-0.9,-1.45,-1.50,Matches,fac896b0
566,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,27,1989,27,2227,82,65.1,24.7,26,,24,1,,8,1.33,26,34,-8,-0.32,+1.19,29.6,36.4,-6.8,-0.28,+0.68,Matches,7d50454d
567,Fabio Ceravolo,it ITA,FW,Benevento,it Serie A,30,1987,1,57,57,1.7,0.6,1,,0,0,,0,0.00,0,1,-1,-1.58,-0.24,0.4,0.9,-0.6,-0.89,+0.03,Matches,4cc93246
568,Alessio Cerci,it ITA,FW,Hellas Verona,it Serie A,30,1987,24,1635,68,47.8,18.2,22,,7,2,,1,0.63,17,34,-17,-0.94,+0.63,19.5,27.3,-7.7,-0.43,+1.06,Matches,5370cba7
569,Michele Cerofolini,it ITA,GK,Fiorentina,it Serie A,18,1999,0,,,,,0,,0,0,,29,,,,,,,,,,,,Matches,efdeaff3
570,Boštjan Cesar,si SVN,DF,Chievo,it Serie A,35,1982,10,550,55,16.1,6.1,5,,5,5,,27,1.20,5,11,-6,-0.98,-0.45,6.1,10.5,-4.3,-0.71,-0.18,Matches,c1d18f10
571,Damir Ceter,co COL,FW,Cagliari,it Serie A,19,1997,6,199,33,5.8,2.2,1,,1,5,,4,1.00,3,8,-5,-2.26,-1.62,3.1,4.2,-1.1,-0.52,-0.01,Matches,eade5337
572,Nacer Chadli,be BEL,FWMF,West Brom,eng Premier League,27,1989,5,260,52,7.6,2.9,2,,0,3,,6,0.80,3,3,0,0.00,+0.71,2.4,4.9,-2.5,-1.04,-0.79,Matches,5b54bf3b
573,Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,30,1986,23,1613,70,47.2,17.9,19,82,8,4,15,9,1.30,29,38,-9,-0.50,-0.05,21.3,29.3,-8.1,-0.45,+0.25,Matches,edd1466a
574,Nathaniel Chalobah,eng ENG,MF,Watford,eng Premier League,22,1994,6,447,75,13.1,5.0,5,,3,1,,0,1.33,7,7,0,0.00,+0.61,6.0,7.2,-1.2,-0.24,-0.07,Matches,422862ea
575,Trevoh Chalobah,eng ENG,DFMF,Chelsea,eng Premier League,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,5515376c
576,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,22,1995,12,866,72,25.3,9.6,10,,5,2,,7,1.67,22,14,+8,+0.83,+0.30,15.3,12.5,+2.8,+0.29,-0.33,Matches,dc6f5bdd
577,Nereo Champagne,ar ARG,GK,Leganés,es La Liga,32,1985,2,180,90,5.3,2.0,2,90,2,0,,36,0.00,2,6,-4,-2.00,-1.64,2.6,3.9,-1.3,-0.66,-0.49,Matches,7a9fae62
578,Timothy Chandler,us USA,DFFW,Eint Frankfurt,de Bundesliga,27,1990,24,1892,79,61.8,21.0,22,,18,2,,2,1.54,27,30,-3,-0.14,-0.37,25.5,27.1,-1.6,-0.08,-0.24,Matches,b3b7f5a6
579,Kwon Chang-hoon,kr KOR,FWMF,Dijon,fr Ligue 1,23,1994,34,2137,63,62.5,23.7,26,76,12,8,19,1,1.29,36,49,-13,-0.55,-0.20,24.3,42.7,-18.4,-0.77,-0.51,Matches,7961f7aa
580,Charles,br BRA,FW,Eibar,es La Liga,33,1984,30,1582,53,46.3,17.6,18,76,7,12,19,3,1.33,26,19,+7,+0.40,+1.03,23.1,17.7,+5.4,+0.31,+0.74,Matches,c4b8bcf4
581,Charly Charrier,fr FRA,MFFW,Amiens,fr Ligue 1,31,1986,3,105,35,3.1,1.2,1,61,0,2,22,2,0.00,0,3,-3,-2.57,-2.52,1.2,2.0,-0.7,-0.61,-0.03,Matches,346c15cc
582,Pape Cheikh Diop,sn SEN,MF,Lyon,fr Ligue 1,19,1997,1,10,10,0.3,0.1,0,,0,1,10,7,3.00,1,0,+1,+9.00,+7.87,0.4,0.1,+0.3,+2.85,+2.24,Matches,873ce3a2
583,Chema,es ESP,DF,Levante,es La Liga,25,1992,25,2017,81,59.0,22.4,23,87,21,2,9,6,1.08,25,34,-9,-0.40,-0.08,22.3,38.0,-15.8,-0.70,-0.51,Matches,7f203b54
584,Denis Cheryshev,ru RUS,MFFW,Villarreal,es La Liga,26,1990,24,926,39,27.1,10.3,9,66,0,15,22,3,1.88,18,11,+7,+0.68,+0.68,19.0,13.2,+5.9,+0.57,+0.79,Matches,0ac94a23
585,Raman Chibsah,gh GHA,MF,Benevento,it Serie A,24,1993,14,1048,75,30.6,11.6,12,,7,2,,5,0.07,7,32,-25,-2.15,-1.16,9.2,27.8,-18.6,-1.60,-0.98,Matches,aa5a409a
586,Leandro Chichizola,ar ARG,GK,Las Palmas,es La Liga,27,1990,27,2430,90,71.1,27.0,27,90,27,0,,11,0.63,18,47,-29,-1.07,+0.84,27.5,48.9,-21.4,-0.79,+0.17,Matches,8d957256
587,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,32,1984,26,2161,83,63.2,24.0,25,,23,1,,9,2.42,56,15,+41,+1.71,+0.21,37.4,19.3,+18.1,+0.75,+0.05,Matches,e85fb9b8
588,Federico Chiesa,it ITA,FWMF,Fiorentina,it Serie A,19,1997,36,3012,84,88.1,33.5,35,,24,1,,0,1.50,51,42,+9,+0.27,+0.49,49.6,34.2,+15.4,+0.46,+0.83,Matches,b0f7e36c
589,Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,20,1996,24,1853,77,54.2,20.6,20,,16,4,,8,1.33,32,30,+2,+0.10,+0.44,29.2,24.8,+4.4,+0.22,+0.36,Matches,d2424d1b
590,Vlad Chiricheș,ro ROU,DF,Napoli,it Serie A,27,1989,7,582,83,17.0,6.5,7,,6,0,,21,2.71,15,7,+8,+1.24,-0.03,11.0,5.5,+5.5,+0.85,-0.25,Matches,c316607a
591,Hamza Choudhury,eng ENG,MFDF,Leicester City,eng Premier League,19,1997,8,378,47,11.1,4.2,4,,2,4,,0,0.88,6,9,-3,-0.71,-0.68,6.8,5.8,+1.0,+0.23,+0.20,Matches,7d2d3329
592,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,21,1996,27,2086,77,61.0,23.2,23,,18,4,,9,1.67,37,23,+14,+0.60,-0.07,34.3,19.3,+15.0,+0.65,+0.28,Matches,1cb49278
593,Chuca,es ESP,MF,Villarreal,es La Liga,20,1997,4,88,22,2.6,1.0,1,63,0,3,8,5,1.75,0,2,-2,-2.05,-2.29,0.4,1.2,-0.7,-0.75,-0.77,Matches,c4af5889
594,Chuli,es ESP,FWMF,Getafe,es La Liga,26,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,24efffbf
595,Lee Chung-yong,kr KOR,FWMF,Crystal Palace,eng Premier League,29,1988,7,135,19,3.9,1.5,1,,0,6,,18,1.00,2,3,-1,-0.67,-0.42,2.5,0.7,+1.8,+1.17,+1.07,Matches,49b05a83
596,Stefano Ciavattini,it ITA,DF,Roma,it Serie A,19,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,db704e1c
597,Sébastien Cibois,fr FRA,GK,Paris S-G,fr Ligue 1,19,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,2b9b37b2
598,Amato Ciciretti,it ITA,MFFW,Benevento,it Serie A,23,1993,12,807,67,23.6,9.0,9,,4,3,,1,0.00,5,14,-9,-1.00,+0.44,7.0,18.3,-11.4,-1.27,-0.45,Matches,1ab0b878
