,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1955,Romain Perraud,fr FRA,FW,Nice,fr Ligue 1,19,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,6dfd8f05
1956,Loïc Perrin,fr FRA,DF,Saint-Étienne,fr Ligue 1,31,1985,27.4,3,0,0,16,28,0,2,36,26,0,0,0,161,76,35,68.5,Matches,6b200d45
1957,Andrea Petagna,it ITA,FW,Atalanta,it Serie A,22,1995,18.0,6,0,0,25,37,8,20,4,3,1,1,0,61,25,25,50.0,Matches,03f946ed
1958,Nils Petersen,de GER,FW,Freiburg,de Bundesliga,28,1988,24.9,4,1,1,16,19,9,18,17,18,4,0,0,54,89,156,36.3,Matches,f93e6e94
1959,Bruno Petković,hr CRO,FW,Hellas Verona,it Serie A,22,1994,10.2,1,0,0,18,21,3,6,7,12,0,0,0,43,43,52,45.3,Matches,24228180
1960,Bruno Petković,hr CRO,FWMF,Bologna,it Serie A,22,1994,3.7,3,0,0,5,16,2,3,4,6,0,0,0,15,5,8,38.5,Matches,24228180
1961,Germán Pezzella,ar ARG,DF,Fiorentina,it Serie A,26,1991,33.1,12,0,0,56,21,1,2,63,47,1,1,0,184,95,48,66.4,Matches,8c725b43
1962,Giuseppe Pezzella,it ITA,DFFW,Udinese,it Serie A,19,1997,10.0,3,1,0,14,9,1,44,6,11,0,2,0,40,7,10,41.2,Matches,149c5f5d
1963,Maximilian Philipp,de GER,FW,Dortmund,de Bundesliga,23,1994,13.4,0,0,0,17,24,11,12,6,19,0,0,0,29,23,23,50.0,Matches,061e8e23
1964,Chris Philipps,lu LUX,MFDF,Metz,fr Ligue 1,23,1994,9.4,4,0,0,17,5,0,4,30,12,0,1,0,76,7,12,36.8,Matches,8e2d5426
1965,Matt Phillips,sct SCO,MFDF,West Brom,eng Premier League,26,1991,23.3,3,0,0,14,13,11,164,24,16,0,0,0,114,35,36,49.3,Matches,7bb5f40e
1966,Lebogang Phiri,za RSA,MF,Guingamp,fr Ligue 1,22,1994,11.5,1,0,0,13,7,0,8,19,17,0,0,0,66,8,5,61.5,Matches,b6dac747
1967,Pablo Piatti,ar ARG,MFFW,Espanyol,es La Liga,28,1989,19.3,0,0,0,35,52,7,145,22,32,1,0,0,107,23,46,33.3,Matches,48e89655
1968,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,23,1994,38.0,0,0,0,1,6,0,0,2,0,0,1,0,47,16,1,94.1,Matches,4806ec67
1969,Jérémy Pied,fr FRA,DF,Southampton,eng Premier League,28,1989,2.0,0,0,0,1,2,0,7,8,6,0,0,0,15,1,0,100.0,Matches,a634b9d2
1970,Nicholas Pierini,it ITA,MFFW,Sassuolo,it Serie A,18,1998,0.5,0,0,0,0,0,0,1,1,1,0,0,0,8,0,2,0.0,Matches,7cc89a5f
1971,Ronaël Pierre-Gabriel,fr FRA,DF,Saint-Étienne,fr Ligue 1,19,1998,13.0,2,1,0,14,15,0,12,9,31,0,1,0,48,7,15,31.8,Matches,64ba07c0
1972,Erik Pieters,nl NED,DF,Stoke City,eng Premier League,28,1988,30.2,5,0,0,58,29,2,64,61,47,0,1,0,154,50,45,52.6,Matches,1ef37668
1973,Tomás Pina Isla,es ESP,MF,Alavés,es La Liga,29,1987,26.5,7,0,0,72,29,1,6,43,49,0,0,0,200,44,61,41.9,Matches,e54bd0a2
1974,Andrea Pinamonti,it ITA,FW,Inter,it Serie A,18,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,08aa9cd1
1975,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,27,1990,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,f6a06749
1976,Gerard Piqué,es ESP,DF,Barcelona,es La Liga,30,1987,29.2,9,0,0,23,11,3,2,30,22,1,0,0,206,64,29,68.8,Matches,adfc9123
1977,Facundo Píriz,uy URU,MF,Montpellier,fr Ligue 1,27,1990,9.0,4,0,0,13,9,0,2,18,16,0,0,0,66,20,16,55.6,Matches,fca455cc
1978,Fabio Pisacane,it ITA,DF,Cagliari,it Serie A,31,1986,21.4,3,3,1,30,22,1,12,38,39,0,1,0,117,40,30,57.1,Matches,56400c01
1979,Łukasz Piszczek,pl POL,DF,Dortmund,de Bundesliga,32,1985,23.8,3,0,0,22,24,2,56,42,37,1,0,0,91,63,37,63.0,Matches,fe2db476
1980,Claudio Pizarro,pe PER,FWMF,Köln,de Bundesliga,38,1978,6.4,0,0,0,6,6,8,2,3,9,0,0,0,24,17,26,39.5,Matches,54b6ee79
1981,Guido Pizarro,ar ARG,MF,Sevilla,es La Liga,27,1990,19.5,9,0,0,48,25,0,0,26,47,0,0,0,123,48,25,65.8,Matches,faec2ec4
1982,Marko Pjaca,hr CRO,FWMF,Schalke 04,de Bundesliga,22,1995,2.9,0,0,0,5,5,0,0,1,3,0,0,0,6,4,13,23.5,Matches,2c38b327
1983,Miralem Pjanić,ba BIH,MF,Juventus,it Serie A,27,1990,27.6,5,0,0,41,28,0,114,64,30,1,0,1,226,12,22,35.3,Matches,ad6df2d5
1984,Carles Planas,es ESP,DF,Girona,es La Liga,26,1991,2.1,0,0,0,1,0,0,7,5,2,0,0,0,13,3,1,75.0,Matches,72b92c4e
1985,Jaroslav Plašil,cz CZE,MF,Bordeaux,fr Ligue 1,35,1982,11.6,2,0,0,13,15,0,9,21,14,0,0,0,88,7,10,41.2,Matches,516dc25b
1986,Marvin Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,25,1992,33.0,6,0,0,34,32,1,195,27,43,0,0,0,135,32,18,64.0,Matches,f7aa75bd
1987,Alassane Pléa,fr FRA,FW,Nice,fr Ligue 1,24,1993,33.8,6,0,0,43,60,15,15,8,9,1,0,0,83,21,55,27.6,Matches,bc6bd723
1988,Morgan Poaty,cg CGO,DF,Montpellier,fr Ligue 1,20,1997,1.9,1,0,0,2,3,0,11,1,0,0,0,0,11,1,1,50.0,Matches,7add56e1
1989,Gerónimo Poblete,ar ARG,MF,Metz,fr Ligue 1,24,1993,18.4,1,0,0,23,30,0,5,24,37,0,0,0,127,11,24,31.4,Matches,31bbb7e2
1990,Florentin Pogba,gn GUI,DF,Saint-Étienne,fr Ligue 1,26,1990,3.6,1,0,0,2,3,1,10,1,0,0,1,0,24,7,1,87.5,Matches,1e23a224
1991,Paul Pogba,fr FRA,MF,Manchester Utd,eng Premier League,24,1993,23.9,5,1,0,44,51,3,28,21,23,0,0,0,161,49,29,62.8,Matches,867239d3
1992,Joel Pohjanpalo,fi FIN,MFFW,Leverkusen,de Bundesliga,22,1994,1.3,0,0,0,2,2,0,0,0,0,0,0,0,4,3,6,33.3,Matches,ea003d07
1993,Eugen Polanski,pl POL,MF,Hoffenheim,de Bundesliga,31,1986,2.9,1,0,0,4,3,0,0,4,7,0,0,0,23,0,2,0.0,Matches,fb2a63bb
1994,Andrea Poli,it ITA,MF,Bologna,it Serie A,27,1989,28.3,9,2,1,31,54,1,14,43,53,0,0,0,183,10,45,18.2,Matches,b3fd7075
1995,Matteo Politano,it ITA,FW,Sassuolo,it Serie A,23,1993,31.2,1,0,0,21,55,10,183,14,16,1,0,0,130,12,50,19.4,Matches,5e861944
1996,Julian Pollersbeck,de GER,GK,Hamburger SV,de Bundesliga,22,1994,10.0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,,Matches,d6f6ce93
1997,Ezequiel Ponce,ar ARG,FW,Lille,fr Ligue 1,20,1997,12.2,2,0,0,37,11,11,2,3,8,0,0,0,24,28,57,32.9,Matches,ccbbe661
1998,Pere Pons,es ESP,MF,Girona,es La Liga,24,1993,28.4,8,0,0,59,35,0,3,30,54,0,1,0,176,24,43,35.8,Matches,29b61deb
1999,Simone Pontisso,it ITA,MF,Udinese,it Serie A,20,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,8a2d3fdb
2000,Nick Pope,eng ENG,GK,Burnley,eng Premier League,25,1992,34.6,3,0,0,1,2,0,0,0,0,0,1,0,18,12,1,92.3,Matches,4b40d9ca
2001,Jérémie Porsan-Clémenté,fr FRA,DF,Montpellier,fr Ligue 1,19,1997,1.0,1,0,0,1,1,0,5,1,2,0,0,0,7,3,2,60.0,Matches,fa27b5a0
2002,Francisco Portillo,es ESP,MFFW,Getafe,es La Liga,27,1990,27.3,6,0,0,27,29,2,29,22,23,0,0,0,173,12,42,22.2,Matches,8e010ff4
2003,Portu,es ESP,MF,Girona,es La Liga,25,1992,33.3,4,0,0,54,55,23,72,12,24,1,0,0,140,17,77,18.1,Matches,1bda5842
2004,Stefan Posch,at AUT,DF,Hoffenheim,de Bundesliga,20,1997,8.4,3,0,0,11,3,0,7,24,21,0,2,0,35,14,10,58.3,Matches,7f609bfc
2005,Sergio Postigo,es ESP,DF,Levante,es La Liga,28,1988,26.9,6,0,0,12,15,0,3,40,23,0,0,1,113,24,37,39.3,Matches,474ecac8
2006,Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,23,1994,18.5,1,0,0,32,38,12,12,9,19,0,0,0,50,93,69,57.4,Matches,d2416c2e
2007,Maxime Poundjé,fr FRA,DF,Bordeaux,fr Ligue 1,24,1992,18.9,5,0,0,19,14,4,81,35,29,1,0,0,85,26,8,76.5,Matches,b92edde2
2008,Darío Poveda,es ESP,MF,Villarreal,es La Liga,20,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches,cbdf7d5c
2009,Dennis Praet,be BEL,MF,Sampdoria,it Serie A,23,1994,29.5,4,0,0,26,28,0,70,37,57,0,0,0,200,21,46,31.3,Matches,86695068
2010,Sanjin Prcić,ba BIH,MF,Rennes,fr Ligue 1,23,1993,17.4,3,0,0,14,10,0,5,30,18,0,0,0,140,11,11,50.0,Matches,51c30111
2011,Nicolas de Préville,fr FRA,FW,Bordeaux,fr Ligue 1,26,1991,21.5,6,0,0,57,37,6,61,21,27,0,0,0,115,28,58,32.6,Matches,b0547a87
2012,Nicolas de Préville,fr FRA,FWMF,Lille,fr Ligue 1,26,1991,3.2,0,0,0,4,4,2,3,0,3,0,0,0,9,4,3,57.1,Matches,b0547a87
2013,Andrés Prieto,es ESP,GK,Málaga,es La Liga,23,1993,4.0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,100.0,Matches,113fb4ea
2014,Xabi Prieto,es ESP,MFFW,Real Sociedad,es La Liga,33,1983,21.4,1,0,0,15,31,4,56,7,14,0,0,0,89,30,28,51.7,Matches,d054d8b0
2015,Jérôme Prior,fr FRA,GK,Bordeaux,fr Ligue 1,21,1995,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,1061c207
2016,Alex Pritchard,eng ENG,MFFW,Huddersfield,eng Premier League,24,1993,11.1,1,0,0,5,23,1,48,5,8,1,0,0,69,2,19,9.5,Matches,ff9fcd4d
2017,Sloan Privat,fr FRA,FW,Guingamp,fr Ligue 1,28,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,4df04a86
2018,Sebastian Prödl,at AUT,DF,Watford,eng Premier League,30,1987,17.4,5,0,0,21,9,2,1,31,17,0,0,0,76,42,28,60.0,Matches,f5e6d08d
2019,Davy Pröpper,nl NED,MF,Brighton,eng Premier League,25,1991,34.7,2,1,0,41,11,2,12,60,44,0,0,0,245,46,41,52.9,Matches,fdd85f94
2020,Manuel Pucciarelli,it ITA,FWMF,Chievo,it Serie A,26,1991,15.3,3,0,0,15,19,6,13,7,14,0,0,0,47,5,36,12.2,Matches,a1c7b425
2021,Christian Puggioni,it ITA,GK,Benevento,it Serie A,36,1981,13.1,0,1,0,1,1,0,0,0,0,0,0,0,12,5,0,100.0,Matches,b39dfab0
2022,Christian Puggioni,it ITA,GK,Sampdoria,it Serie A,36,1981,9.0,0,0,0,1,1,0,0,0,0,0,1,0,15,3,0,100.0,Matches,b39dfab0
2023,Marc Pugh,eng ENG,MFFW,Bournemouth,eng Premier League,30,1987,10.9,2,0,0,7,9,2,32,13,3,0,0,0,48,7,15,31.8,Matches,9aacb284
2024,Erick Pulgar,cl CHI,MF,Bologna,it Serie A,23,1994,30.8,9,0,0,44,31,1,33,46,48,0,0,0,218,32,20,61.5,Matches,4611e028
2025,Christian Pulisic,us USA,FWDF,Dortmund,de Bundesliga,18,1998,25.6,1,0,0,16,34,9,75,16,30,1,0,0,97,16,58,21.6,Matches,1bf33a9a
2026,Jason Puncheon,eng ENG,MF,Crystal Palace,eng Premier League,31,1986,7.2,5,0,0,14,3,0,20,5,4,0,0,0,27,4,8,33.3,Matches,fd3f57ce
2027,George Pușcaș,ro ROU,FWMF,Benevento,it Serie A,21,1996,7.8,0,0,0,9,9,1,4,1,0,0,0,0,20,20,29,40.8,Matches,c23c8e0d
2028,Loïc Puyo,fr FRA,MF,Angers,fr Ligue 1,28,1988,1.9,0,0,0,8,2,0,7,4,5,0,0,0,18,0,5,0.0,Matches,bcb98316
2029,Fabio Quagliarella,it ITA,FW,Sampdoria,it Serie A,34,1983,30.2,4,0,0,24,46,39,48,7,9,0,0,0,66,33,36,47.8,Matches,ee4f2f3b
2030,Robin Quaison,se SWE,FW,Mainz 05,de Bundesliga,23,1993,15.7,3,0,0,31,16,4,7,7,14,0,0,0,35,23,66,25.8,Matches,74c7c2db
2031,Collin Quaner,de GER,FWMF,Huddersfield,eng Premier League,26,1991,14.2,4,0,0,14,26,3,22,11,15,0,0,0,91,14,25,35.9,Matches,19b8b0b9
2032,Dani Raba,es ESP,MFFW,Villarreal,es La Liga,21,1995,12.3,3,1,0,25,27,8,34,17,21,0,0,0,74,8,15,34.8,Matches,ea6a7ab4
2033,Adrien Rabiot,fr FRA,MF,Paris S-G,fr Ligue 1,22,1995,26.2,2,0,0,36,22,0,20,33,36,0,0,0,187,32,18,64.0,Matches,8794e251
2034,Nemanja Radoja,rs SRB,MF,Celta Vigo,es La Liga,24,1993,12.3,3,0,0,11,15,1,4,10,16,0,0,0,64,19,14,57.6,Matches,b5dd3469
2035,Ivan Radovanović,rs SRB,MF,Chievo,it Serie A,28,1988,34.9,6,1,0,33,39,0,30,47,35,0,0,0,247,60,34,63.8,Matches,023937a9
2036,Ștefan Radu,ro ROU,DF,Lazio,it Serie A,30,1986,28.8,9,2,1,26,30,0,20,55,38,0,0,0,185,33,23,58.9,Matches,53de807a
2037,Rafael,br BRA,GK,Cagliari,it Serie A,35,1982,8.8,1,0,0,0,0,0,0,1,0,0,0,0,7,2,0,100.0,Matches,dd06d56c
2038,Rafael,br BRA,DF,Lyon,fr Ligue 1,27,1990,20.1,9,0,0,34,26,2,63,42,28,0,0,1,122,27,28,49.1,Matches,9a1f2e1c
2039,Raffael,br BRA,FW,M'Gladbach,de Bundesliga,32,1985,23.0,0,0,0,17,35,7,15,8,32,0,0,0,94,3,16,15.8,Matches,791af558
2040,Rafinha,br BRA,MF,Inter,it Serie A,24,1993,11.6,1,0,0,13,28,1,17,7,9,1,0,0,70,9,12,42.9,Matches,0c2ac3cb
2041,Rafinha,br BRA,DF,Bayern Munich,de Bundesliga,31,1985,20.6,4,0,0,23,30,0,59,32,33,0,0,0,117,18,20,47.4,Matches,d003e213
2042,Andrea Raggi,it ITA,DF,Monaco,fr Ligue 1,33,1984,17.9,3,0,0,10,12,2,23,31,10,0,0,0,79,13,14,48.1,Matches,bd4f5f94
2043,Antonino Ragusa,it ITA,FWMF,Sassuolo,it Serie A,27,1990,9.2,6,0,0,26,32,4,21,6,7,1,0,0,45,10,11,47.6,Matches,e967e202
2044,Baba Rahman,gh GHA,DF,Schalke 04,de Bundesliga,23,1994,0.4,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,,Matches,e4086af3
2045,Ivan Rakitić,hr CRO,MF,Barcelona,es La Liga,29,1988,31.5,4,0,0,33,46,3,54,44,31,0,0,0,232,24,24,50.0,Matches,89f951b5
2046,André Ramalho,br BRA,DFFW,Leverkusen,de Bundesliga,25,1992,0.4,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0.0,Matches,7483d9f9
2047,Jonás Ramalho,es ESP,DF,Girona,es La Liga,24,1993,25.5,3,0,0,20,12,1,7,35,16,0,1,1,135,38,26,59.4,Matches,be3a0121
2048,Adil Rami,fr FRA,DF,Marseille,fr Ligue 1,31,1985,32.8,5,0,0,34,23,1,2,45,29,0,0,1,196,92,46,66.7,Matches,8dbff17c
2049,Benito Ramírez,es ESP,FWDF,Las Palmas,es La Liga,22,1995,1.8,0,0,0,2,1,0,16,2,3,0,0,0,7,1,3,25.0,Matches,db714daf
2050,Gastón Ramírez,uy URU,MF,Sampdoria,it Serie A,26,1990,24.6,9,0,0,50,60,0,122,18,20,2,0,0,132,29,51,36.3,Matches,2c851997
2051,Sandro Ramírez,es ESP,FWMF,Everton,eng Premier League,22,1995,3.1,0,0,0,1,7,1,6,1,1,0,0,0,8,2,5,28.6,Matches,833fb62e
2052,Sandro Ramírez,es ESP,FWMF,Sevilla,es La Liga,22,1995,8.0,0,0,0,17,22,5,18,4,8,1,0,0,25,4,9,30.8,Matches,833fb62e
2053,Toño Ramírez,es ESP,GK,Real Sociedad,es La Liga,30,1986,3.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches,dc4511f3
2054,Iván Ramis,es ESP,DF,Eibar,es La Liga,32,1984,14.5,4,0,0,11,8,2,0,25,14,0,0,0,107,53,31,63.1,Matches,d2be40f2
2055,Omar Ramos,es ESP,FWMF,Leganés,es La Liga,29,1988,16.1,3,0,0,14,18,2,76,14,14,0,0,0,75,15,20,42.9,Matches,0657888a
2056,Sergio Ramos,es ESP,DF,Real Madrid,es La Liga,31,1986,25.4,9,2,2,37,20,6,9,47,29,0,0,1,195,84,45,65.1,Matches,08511d65
2057,Aaron Ramsey,wls WAL,MF,Arsenal,eng Premier League,26,1990,20.5,0,0,0,28,33,0,17,24,27,2,0,0,128,10,15,40.0,Matches,ef619b0b
2058,Àngel Rangel,es ESP,DF,Swansea City,eng Premier League,34,1982,1.7,0,0,0,1,0,0,6,3,3,0,0,0,12,1,5,16.7,Matches,93ee387c
2059,Andrea Ranocchia,it ITA,DF,Inter,it Serie A,29,1988,7.0,4,0,0,8,3,0,1,12,4,0,0,1,38,25,5,83.3,Matches,539230cf
2060,Marcus Rashford,eng ENG,FWMF,Manchester Utd,eng Premier League,19,1997,20.1,3,0,0,21,17,9,81,8,11,0,0,0,52,18,24,42.9,Matches,a1d5bd30
2061,Milot Rashica,xk KVX,FWMF,Werder Bremen,de Bundesliga,21,1996,4.3,0,0,0,4,9,3,20,3,2,0,0,0,23,2,4,33.3,Matches,6c6a3300
2062,Konstantin Rausch,ru RUS,DF,Köln,de Bundesliga,27,1990,10.3,3,0,0,11,8,1,70,17,16,0,1,0,50,10,11,47.6,Matches,6435e737
2063,Yoric Ravet,fr FRA,FWMF,Freiburg,de Bundesliga,27,1989,5.5,0,1,0,10,6,5,46,3,7,0,0,0,15,10,14,41.7,Matches,4d74201d
2064,Ante Rebić,hr CRO,FW,Eint Frankfurt,de Bundesliga,23,1993,19.5,8,0,0,56,36,11,36,6,29,1,0,0,62,33,59,35.9,Matches,536cebe5
2065,Pedro Rebocho,pt POR,DF,Guingamp,fr Ligue 1,22,1995,19.1,4,0,0,17,11,1,59,19,22,0,0,0,97,15,19,44.1,Matches,276cce2e
2066,Recio,es ESP,MF,Málaga,es La Liga,26,1991,20.4,11,1,1,42,44,1,68,30,42,0,0,0,145,21,21,50.0,Matches,54073b28
2067,Nathan Redmond,eng ENG,FWMF,Southampton,eng Premier League,23,1994,21.6,3,0,0,19,18,4,69,15,17,0,0,0,126,4,15,21.1,Matches,ab651565
2068,Alberto Redondo,es ESP,DF,Getafe,es La Liga,20,1997,1.0,0,0,0,4,0,0,2,0,3,0,0,0,2,2,1,66.7,Matches,1214f0a6
2069,Fabian Reese,de GER,FWMF,Schalke 04,de Bundesliga,19,1997,0.8,0,0,0,3,0,0,0,2,2,0,0,0,7,0,7,0.0,Matches,b1823b08
2070,Vasco Regini,it ITA,DF,Sampdoria,it Serie A,26,1990,12.0,2,0,0,10,6,0,14,11,7,0,0,0,37,17,13,56.7,Matches,339c6ed4
2071,Xesc Regis,es ESP,FW,Eibar,es La Liga,20,1996,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,4b32b2be
2072,Winston Reid,nz NZL,DF,West Ham,eng Premier League,29,1988,16.1,5,0,0,14,15,0,1,22,9,0,0,0,80,43,24,64.2,Matches,562eed5c
2073,Pepe Reina,es ESP,GK,Napoli,it Serie A,34,1982,37.0,1,0,0,1,3,0,0,0,0,0,0,0,49,5,0,100.0,Matches,e358587b
2074,Jeff Reine-Adélaïde,fr FRA,MF,Angers,fr Ligue 1,19,1998,4.9,0,0,0,7,14,1,0,1,8,0,0,0,28,8,10,44.4,Matches,d504b3e1
2075,Karim Rekik,nl NED,DF,Hertha BSC,de Bundesliga,22,1994,25.6,4,0,0,27,18,2,1,28,29,0,2,0,95,56,39,58.9,Matches,3376a776
2076,Loïc Rémy,fr FRA,FW,Las Palmas,es La Liga,30,1987,8.5,1,0,0,8,7,3,7,1,3,0,0,0,22,5,4,55.6,Matches,5c2da10f
2077,Loïc Rémy,fr FRA,FWMF,Getafe,es La Liga,30,1987,5.1,3,1,1,14,12,9,5,1,2,2,0,0,11,21,19,52.5,Matches,5c2da10f
2078,Jan Repas,si SVN,MFFW,Caen,fr Ligue 1,20,1997,10.0,1,0,0,19,19,0,16,7,11,0,1,0,47,8,22,26.7,Matches,e0d725fe
2079,Panagiotis Retsos,gr GRE,DF,Leverkusen,de Bundesliga,18,1998,19.1,6,0,0,37,19,2,16,29,40,0,2,0,105,42,29,59.2,Matches,4bd00a50
2080,Marco Reus,de GER,MFFW,Dortmund,de Bundesliga,28,1989,10.3,1,0,0,13,20,5,31,4,8,0,0,0,42,3,11,21.4,Matches,36a3ff67
2081,Elvis Rexhbeçaj,de GER,DFMF,Wolfsburg,de Bundesliga,19,1997,1.4,0,0,0,3,2,0,1,2,2,0,0,0,1,2,9,18.2,Matches,1ae836b1
2082,Baptiste Reynet,fr FRA,GK,Dijon,fr Ligue 1,26,1990,38.0,3,0,0,0,7,0,0,2,4,0,0,0,56,12,3,80.0,Matches,bcf1b2e9
2083,Franck Ribéry,fr FRA,FWMF,Bayern Munich,de Bundesliga,34,1983,13.4,3,0,0,11,41,2,39,7,16,0,0,0,72,2,5,28.6,Matches,f61c7c4e
2084,Federico Ricca,uy URU,DF,Málaga,es La Liga,22,1994,12.3,4,0,0,18,6,0,32,24,24,0,0,0,50,26,16,61.9,Matches,54f5ce34
2085,Federico Ricci,it ITA,FW,Crotone,it Serie A,23,1994,10.2,4,0,0,21,26,2,63,11,18,0,0,0,64,6,17,26.1,Matches,524eb8c5
2086,Federico Ricci,it ITA,MF,Genoa,it Serie A,23,1994,2.4,0,0,0,1,7,1,14,1,2,0,0,0,12,1,6,14.3,Matches,524eb8c5
2087,Declan Rice,eng ENG,DFMF,West Ham,eng Premier League,18,1999,15.9,1,0,0,5,2,0,5,27,24,0,0,0,72,31,35,47.0,Matches,1c7012b8
2088,Richarlison,br BRA,FWMF,Watford,eng Premier League,20,1997,31.4,4,0,0,37,95,21,51,24,44,2,0,0,138,119,158,43.0,Matches,fa031b34
2089,Marco Richter,de GER,FW,Augsburg,de Bundesliga,19,1997,7.2,0,0,0,17,22,1,9,1,14,0,0,0,32,7,11,38.9,Matches,f972644c
2090,Diego Rico,es ESP,DF,Leganés,es La Liga,24,1993,24.8,9,1,1,37,43,4,125,76,43,0,3,0,183,28,20,58.3,Matches,d9ba39fc
2091,Mikel Rico,es ESP,MF,Athletic Club,es La Liga,32,1984,13.0,2,0,0,19,23,0,12,23,13,0,0,0,125,6,12,33.3,Matches,def69cd0
2092,Sergio Rico,es ESP,GK,Sevilla,es La Liga,23,1993,24.0,2,0,0,1,3,0,0,1,1,0,1,0,31,11,1,91.7,Matches,5f0241b2
2093,Jaïro Riedewald,nl NED,MFDF,Crystal Palace,eng Premier League,20,1996,4.9,0,0,0,3,0,0,2,12,8,0,0,0,23,4,3,57.1,Matches,7a1f2c08
2094,Asier Riesgo,es ESP,GK,Eibar,es La Liga,33,1983,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,Matches,581c5276
2095,Luca Rigoni,it ITA,MF,Genoa,it Serie A,32,1984,17.5,5,0,0,29,21,6,18,19,22,0,0,0,77,16,14,53.3,Matches,4dba2a97
2096,Nicola Rigoni,it ITA,MF,Chievo,it Serie A,26,1990,10.4,3,0,0,23,8,1,3,11,20,0,0,0,55,18,13,58.1,Matches,e327bd76
2097,Kévin Rimane,gf GUF,DF,Paris S-G,fr Ligue 1,26,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,7a137df4
2098,Tomás Rincón,ve VEN,MF,Torino,it Serie A,29,1988,33.3,12,0,0,80,47,1,17,57,40,0,0,0,220,66,45,59.5,Matches,f1cfc209
2099,Birk Risa,no NOR,FW,Köln,de Bundesliga,19,1998,0.9,0,0,0,2,1,1,2,0,1,0,0,0,3,1,4,20.0,Matches,c70b221c
2100,Marcel Risse,de GER,DFMF,Köln,de Bundesliga,27,1989,13.0,2,0,0,9,6,3,121,6,14,0,0,0,72,1,7,12.5,Matches,140afefb
2101,Matt Ritchie,sct SCO,MFFW,Newcastle Utd,eng Premier League,27,1989,31.2,6,0,0,37,36,3,190,35,32,0,1,0,184,33,81,28.9,Matches,71ef519e
2102,Cristian Rivera,es ESP,MF,Eibar,es La Liga,20,1997,2.7,0,0,0,3,1,0,0,3,10,0,0,0,34,1,1,50.0,Matches,8ef81d2d
2103,Emmanuel Rivière,fr FRA,FW,Metz,fr Ligue 1,27,1990,22.3,1,0,0,43,16,8,3,2,3,0,0,0,55,101,169,37.4,Matches,2bae5658
2104,Jonathan Rivierez,mq MTQ,DF,Metz,fr Ligue 1,28,1989,22.9,6,0,0,33,14,0,25,39,59,0,1,0,132,21,23,47.7,Matches,7af0e1f8
2105,Luca Rizzo,it ITA,MF,SPAL,it Serie A,25,1992,5.4,0,0,0,5,7,1,25,3,10,0,0,0,25,2,3,40.0,Matches,a3e4b724
2106,Arjen Robben,nl NED,FWMF,Bayern Munich,de Bundesliga,33,1984,16.7,0,0,0,10,25,9,65,4,11,1,0,0,52,16,11,59.3,Matches,09586899
2107,Rober,es ESP,DFMF,Levante,es La Liga,22,1995,21.2,4,0,0,18,7,0,3,41,22,0,1,1,125,16,24,40.0,Matches,c00097d2
2108,Roberto,es ESP,GK,Málaga,es La Liga,31,1986,34.0,0,0,0,1,3,0,0,2,0,0,0,0,35,13,1,92.9,Matches,ba3ca78f
2109,Sergi Roberto,es ESP,DF,Barcelona,es La Liga,25,1992,24.7,3,2,0,16,26,1,35,39,40,0,0,0,150,14,23,37.8,Matches,335fa267
2110,Connor Roberts,wls WAL,DF,Swansea City,eng Premier League,21,1995,3.0,0,0,0,0,7,0,13,3,4,0,0,0,17,3,6,33.3,Matches,24fae784
2111,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,23,1994,21.6,2,0,0,15,4,5,88,26,17,0,0,0,140,15,9,62.5,Matches,2e4f5f03
2112,Álex Robles,es ESP,DF,Málaga,es La Liga,18,1999,1.0,0,0,0,3,1,0,1,3,1,0,0,0,5,2,0,100.0,Matches,df9326db
