,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
158,Dylan Bahamboula,cg CGO,FWMF,Dijon,fr Ligue 1,22,1995,0.3,13,13,0,0,0,0,1,0,0,0,0,0,10,0,0,Matches,7844c810
159,Farès Bahlouli,fr FRA,MFFW,Lille,fr Ligue 1,22,1995,3.4,152,124,27,8,0,2,35,0,19,6,12,0,99,1,6,Matches,776972d5
160,Stéphane Bahoken,cm CMR,FW,Strasbourg,fr Ligue 1,25,1992,18.5,340,313,27,2,0,0,42,4,1,0,0,0,234,0,24,Matches,5046b7d4
161,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,33,1984,28.2,1644,1530,102,79,3,6,29,22,1,1,0,0,1196,12,34,Matches,f261abcb
162,Leon Bailey,jm JAM,FWDF,Leverkusen,de Bundesliga,19,1997,24.6,1094,927,160,37,0,17,196,46,77,51,26,0,744,7,45,Matches,3a233281
163,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,23,1994,11.1,428,411,16,15,1,3,0,1,0,0,0,0,368,1,4,Matches,a1232f4e
164,Leighton Baines,eng ENG,DF,Everton,eng Premier League,32,1984,21.2,1009,782,221,26,0,2,75,174,21,14,7,0,774,6,35,Matches,b18095b6
165,Riad Bajić,ba BIH,FWMF,Udinese,it Serie A,23,1994,0.9,19,19,0,0,1,0,0,0,0,0,0,0,13,0,1,Matches,49d399d5
166,Marvin Bakalorz,de GER,MF,Hannover 96,de Bundesliga,27,1989,22.8,628,617,7,5,2,1,11,2,0,0,0,0,432,4,21,Matches,04c11885
167,Cédric Bakambu,cd COD,FW,Villarreal,es La Liga,26,1991,14.0,293,274,17,1,1,3,12,0,0,0,0,0,209,2,9,Matches,0af4dcf0
168,Tiemoué Bakayoko,fr FRA,MF,Chelsea,eng Premier League,22,1994,23.6,1116,1104,9,8,0,13,5,1,0,0,0,0,957,3,9,Matches,59bf127b
169,Zakaria Bakkali,be BEL,FWMF,La Coruña,es La Liga,21,1996,10.1,307,287,16,1,1,0,36,6,9,4,0,0,232,4,9,Matches,ec3efd7f
170,Ridle Baku,de GER,MF,Mainz 05,de Bundesliga,19,1998,2.6,85,84,1,0,0,0,3,1,0,0,0,0,67,0,1,Matches,442b56fa
171,Keita Baldé,sn SEN,FWMF,Monaco,fr Ligue 1,22,1995,16.4,392,380,10,2,2,1,39,4,0,0,0,0,278,2,23,Matches,509a4ccb
172,Sam Baldock,eng ENG,FW,Brighton,eng Premier League,28,1989,0.4,7,6,1,1,0,0,0,0,0,0,0,0,4,0,1,Matches,9d597f08
173,Gareth Bale,wls WAL,FWMF,Real Madrid,es La Liga,28,1989,20.0,779,746,25,1,2,22,55,20,0,0,0,0,603,8,25,Matches,a58bb1e1
174,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,29,1988,17.2,791,615,176,11,0,3,50,165,0,0,0,0,599,0,27,Matches,1fe67e86
175,Andrija Balić,hr CRO,MF,Udinese,it Serie A,19,1997,12.0,561,519,40,19,1,12,38,2,19,5,11,1,446,2,18,Matches,9be4ee80
176,Iván Balliu,al ALB,DF,Metz,fr Ligue 1,25,1992,21.7,1205,944,260,15,0,9,51,245,0,0,0,0,918,1,45,Matches,cee88597
177,Fodé Ballo-Touré,sn SEN,DF,Lille,fr Ligue 1,20,1997,22.8,1228,994,233,19,0,2,44,213,1,0,0,0,1017,1,38,Matches,f449640d
178,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,37,1980,9.6,525,493,31,20,1,5,18,6,3,0,2,1,430,1,9,Matches,4e7bfc23
179,Leon Balogun,ng NGA,DF,Mainz 05,de Bundesliga,29,1988,13.0,485,464,19,13,0,4,2,6,0,0,0,0,360,2,10,Matches,78e68b4d
180,Mario Balotelli,it ITA,FW,Nice,fr Ligue 1,26,1990,25.2,795,721,65,19,9,16,17,2,0,0,0,0,591,9,24,Matches,8ff07990
181,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,27,1990,17.0,854,644,206,9,0,1,35,197,0,0,0,0,657,4,23,Matches,7fecbcdb
182,Jonathan Bamba,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,1996,28.6,1219,1075,132,36,8,2,107,28,53,18,15,1,908,12,42,Matches,b2bd0f6c
183,Yacine Bammou,ma MAR,MFFW,Nantes,fr Ligue 1,25,1991,8.1,272,270,0,0,1,4,17,0,0,0,0,0,191,2,17,Matches,a1d04509
184,Éver Banega,ar ARG,MF,Sevilla,es La Liga,29,1988,26.7,2309,2065,223,107,10,31,145,11,103,42,48,1,1896,21,25,Matches,fa937f7a
185,Mattia Bani,it ITA,DF,Chievo,it Serie A,23,1993,14.6,637,611,24,13,0,10,5,11,0,0,0,0,524,2,5,Matches,0821331c
186,Beni Baningime,cd COD,MF,Everton,eng Premier League,18,1998,2.2,82,82,0,0,0,1,0,0,0,0,0,0,67,0,2,Matches,ca9178af
187,Léo Baptistão,br BRA,FWMF,Espanyol,es La Liga,24,1992,29.7,727,684,42,0,5,2,34,5,0,0,0,0,473,1,51,Matches,35f6db55
188,Sekou Baradji,fr FRA,MF,Amiens,fr Ligue 1,33,1984,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,5693aa98
189,Antonín Barák,cz CZE,MF,Udinese,it Serie A,22,1994,30.1,1171,1148,18,4,2,8,34,6,7,5,1,0,905,5,35,Matches,01efac19
190,Andrea Barberis,it ITA,MF,Crotone,it Serie A,23,1993,33.7,1148,1009,130,49,0,5,88,8,57,30,19,0,813,9,32,Matches,32ebfe1e
191,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,33,1984,12.5,335,202,133,28,0,0,0,0,0,0,0,0,225,0,0,Matches,aad4f74f
192,Enis Bardhi,mk MKD,MF,Levante,es La Liga,22,1995,17.6,683,602,78,27,2,15,55,6,42,15,15,3,520,3,14,Matches,cac2537b
193,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,32,1985,12.5,587,426,157,10,0,2,19,147,0,0,0,0,394,4,9,Matches,1ae30132
194,Nicolò Barella,it ITA,MF,Cagliari,it Serie A,20,1997,32.8,1641,1496,137,55,5,26,107,8,48,15,25,1,1235,8,43,Matches,6928979a
195,Philipp Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,28,1989,20.7,967,948,15,15,0,6,4,0,0,0,0,0,764,4,22,Matches,3f7cd8f1
196,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,23,1993,1.4,53,52,0,0,0,0,2,0,0,0,0,0,39,1,1,Matches,3a24769f
197,Aymen Barkok,ma MAR,FWMF,Eint Frankfurt,de Bundesliga,19,1998,3.5,120,119,1,0,0,2,4,1,0,0,0,0,88,0,5,Matches,a2a85828
198,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,27,1989,24.1,531,515,13,0,3,0,16,2,0,0,0,0,316,3,17,Matches,2691c772
199,Harvey Barnes,eng ENG,MFFW,Leicester City,eng Premier League,19,1997,0.1,7,6,1,0,0,0,1,0,1,0,0,0,6,0,0,Matches,3ea50f67
200,Antonio Barragán,es ESP,DF,Betis,es La Liga,30,1987,26.4,1618,1394,219,14,2,7,92,205,0,0,0,0,1293,5,28,Matches,487d9b09
201,Antonio Barreca,it ITA,DF,Torino,it Serie A,22,1995,5.2,285,204,81,7,0,1,12,72,2,0,2,0,228,0,11,Matches,6a189491
202,Édgar Barreto,py PAR,MF,Sampdoria,it Serie A,33,1984,21.8,1090,1069,18,8,1,8,35,10,0,0,0,0,862,3,15,Matches,43a1bea5
203,Barri,es ESP,MFFW,Getafe,es La Liga,21,1995,1.3,16,14,0,0,0,0,0,0,0,0,0,0,10,2,0,Matches,9704b62b
204,Musa Barrow,gm GAM,FW,Atalanta,it Serie A,18,1998,4.9,130,119,11,0,0,0,8,4,0,0,0,0,100,0,5,Matches,e5bf73f3
205,Gareth Barry,eng ENG,MF,West Brom,eng Premier League,36,1981,21.4,963,920,38,22,3,11,28,3,12,9,2,0,721,5,11,Matches,7dbbe367
206,Fin Bartels,de GER,FW,Werder Bremen,de Bundesliga,30,1987,12.5,391,380,10,1,1,5,13,2,0,0,0,0,279,1,26,Matches,acc7b7ec
207,Kyle Bartley,eng ENG,DF,Swansea City,eng Premier League,26,1991,2.6,115,112,3,3,0,1,0,0,0,0,0,0,93,0,2,Matches,18e96f64
208,Marc Bartra,es ESP,DF,Betis,es La Liga,26,1991,15.8,1100,1038,57,55,3,12,2,1,0,0,0,0,939,5,7,Matches,b742cc0d
209,Marc Bartra,es ESP,DF,Dortmund,de Bundesliga,26,1991,9.0,708,647,60,14,0,3,7,46,0,0,0,0,552,1,9,Matches,b742cc0d
210,Andrea Barzagli,it ITA,DF,Juventus,it Serie A,36,1981,16.1,1266,1205,60,19,0,19,3,41,0,0,0,0,1162,1,4,Matches,7c0000fd
211,Daniele Baselli,it ITA,MF,Torino,it Serie A,25,1992,28.0,1332,1290,36,16,3,11,27,4,10,5,5,0,1080,6,35,Matches,ea06dd97
212,Nicolas Basin,fr FRA,DF,Metz,fr Ligue 1,19,1998,3.5,164,131,32,1,0,1,8,31,0,0,0,0,114,1,6,Matches,67d251a2
213,Dušan Basta,rs SRB,DF,Lazio,it Serie A,32,1984,8.6,395,329,66,6,0,5,29,60,0,0,0,0,298,0,15,Matches,3b57f7f8
214,Gil Bastião Dias,pt POR,FWMF,Fiorentina,it Serie A,20,1996,13.2,480,462,17,1,2,4,17,15,1,0,0,0,370,1,20,Matches,e61bdd69
215,Gil Bastião Dias,pt POR,MF,Monaco,fr Ligue 1,20,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,e61bdd69
216,Samuel Bastien,cd COD,MF,Chievo,it Serie A,20,1996,15.1,481,472,8,2,1,6,12,5,0,0,0,0,394,1,11,Matches,ec30b9c8
217,Borja Bastón,es ESP,FW,Málaga,es La Liga,24,1992,10.9,236,212,22,0,3,1,5,0,0,0,0,0,171,2,9,Matches,8c44e37b
218,Alessandro Bastoni,it ITA,DF,Atalanta,it Serie A,18,1999,1.0,86,72,14,3,0,2,0,11,0,0,0,0,70,0,4,Matches,75b86fb3
219,Bastos,ao ANG,DF,Lazio,it Serie A,26,1991,15.6,859,831,28,20,0,5,0,7,0,0,0,0,782,0,6,Matches,c01c66d9
220,Michy Batshuayi,be BEL,FW,Chelsea,eng Premier League,23,1993,4.0,97,87,9,0,0,0,0,0,0,0,0,0,67,1,5,Matches,2973d8ff
221,Michy Batshuayi,be BEL,FW,Dortmund,de Bundesliga,23,1993,9.3,181,157,21,0,0,2,0,1,0,0,0,0,123,3,7,Matches,2973d8ff
222,Moritz Bauer,at AUT,DFMF,Stoke City,eng Premier League,25,1992,14.5,465,314,149,11,0,3,39,138,0,0,0,0,293,2,17,Matches,cfe6238d
223,Robert Bauer,de GER,DFFW,Werder Bremen,de Bundesliga,22,1995,10.6,503,430,69,15,0,9,16,54,0,0,0,0,369,4,21,Matches,9b88e120
224,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34.0,1449,1089,353,92,0,1,0,0,0,0,0,0,1032,7,1,Matches,47064058
225,Timo Baumgartl,de GER,DF,Stuttgart,de Bundesliga,21,1996,29.0,1555,1411,139,76,0,12,8,63,0,0,0,0,1273,5,19,Matches,bd7d2e6d
226,Julian Baumgartlinger,at AUT,MFDF,Leverkusen,de Bundesliga,29,1988,15.5,958,914,42,38,1,14,2,4,0,0,0,0,865,2,11,Matches,69374ff5
227,Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,22,1995,2.0,35,32,3,0,0,0,0,0,0,0,0,0,27,0,0,Matches,debc6b55
228,Paul Baysse,fr FRA,DF,Málaga,es La Liga,29,1988,13.8,549,517,32,30,0,7,0,2,0,0,0,0,448,0,1,Matches,2515040a
229,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,29,1988,6.3,302,290,11,11,0,4,1,0,0,0,0,0,260,1,2,Matches,2515040a
230,Noah Joel Sarenren Bazee,ng NGA,FWMF,Hannover 96,de Bundesliga,20,1996,1.3,24,24,0,0,0,0,5,0,0,0,0,0,9,0,4,Matches,fbbc8e15
231,Hervé Bazile,ht HAI,MFFW,Caen,fr Ligue 1,27,1990,9.7,320,275,44,9,0,7,107,1,34,22,12,0,178,1,15,Matches,7abfcbff
232,Riechedly Bazoer,nl NED,MF,Wolfsburg,de Bundesliga,20,1996,6.6,251,248,3,3,0,4,3,0,0,0,0,0,212,0,2,Matches,da59a197
233,Enrico Bearzotti,it ITA,DFFW,Hellas Verona,it Serie A,20,1996,4.6,177,146,30,2,0,2,14,28,0,0,0,0,132,1,6,Matches,c67836b8
234,Claudio Beauvue,gp GLP,FW,Leganés,es La Liga,29,1988,18.6,321,279,37,1,2,1,11,3,0,0,0,0,208,5,10,Matches,8ca253a3
235,Bebé,cv CPV,MFFW,Eibar,es La Liga,27,1990,4.1,149,132,16,4,0,1,47,5,7,3,4,0,84,1,8,Matches,d8712bf9
236,Ihlas Bebou,tg TOG,MFFW,Hannover 96,de Bundesliga,23,1994,23.8,639,636,2,0,2,3,55,2,0,0,0,0,446,1,35,Matches,a53b661f
237,Andreas Beck,de GER,DF,Stuttgart,de Bundesliga,30,1987,21.4,1170,895,269,20,0,3,69,249,0,0,0,0,826,6,50,Matches,00a6485f
238,Henri Bedimo,cm CMR,DFFW,Marseille,fr Ligue 1,33,1984,0.5,25,21,4,2,0,0,0,2,0,0,0,0,21,0,0,Matches,0d57f1c1
239,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,21,1996,4.7,193,174,19,7,0,0,0,12,0,0,0,0,139,0,3,Matches,4115ce4e
240,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38.0,1162,696,464,136,0,1,0,0,0,0,0,0,693,2,1,Matches,7b4de647
241,Valon Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,15.5,507,493,13,10,2,3,1,3,0,0,0,0,417,1,9,Matches,d3d758d8
242,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,12.4,373,226,146,38,0,0,0,0,0,0,0,0,241,1,0,Matches,4f8ce0e1
243,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2.0,86,65,21,5,0,0,0,0,0,0,0,0,68,0,0,Matches,4f8ce0e1
244,Ishak Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,15.0,440,427,11,0,0,3,23,3,0,0,0,0,272,2,17,Matches,ff182fdc
245,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,24.2,937,893,42,40,1,11,1,1,0,0,0,0,695,2,13,Matches,857a5abe
246,Karim Bellarabi,de GER,MFFW,Leverkusen,de Bundesliga,27,1990,12.7,541,503,35,6,2,4,56,26,2,0,0,0,396,3,22,Matches,bee0bab1
247,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,22,1995,33.9,2193,1902,285,4,7,4,64,281,0,0,0,0,1833,6,61,Matches,f874dd44
248,François Bellugou,fr FRA,MF,Troyes,fr Ligue 1,30,1987,24.2,1000,982,15,15,2,15,4,0,0,0,0,0,789,3,19,Matches,2174bc8d
249,Andrea Belotti,it ITA,FW,Torino,it Serie A,23,1993,29.8,604,583,20,1,1,4,9,6,0,0,0,0,429,1,27,Matches,d705ba44
250,Chaouki Ben Saada,tn TUN,FWMF,Troyes,fr Ligue 1,33,1984,3.8,196,182,12,3,3,5,15,3,6,3,1,2,146,2,7,Matches,61d618fa
251,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,26,1990,18.9,481,440,39,0,2,0,8,0,0,0,0,0,371,2,10,Matches,942b4f90
252,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,2.5,65,36,29,6,0,0,0,0,0,0,0,0,49,0,0,Matches,b7e7937d
253,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,25,1992,9.0,403,362,38,9,2,2,9,12,3,0,1,0,313,3,13,Matches,a128b07e
254,Yohan Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1.0,38,28,10,2,0,0,3,8,0,0,0,0,24,0,1,Matches,8309b068
255,Marco Benassi,it ITA,MFFW,Fiorentina,it Serie A,22,1994,30.9,1345,1308,29,9,8,6,66,15,2,0,1,0,988,8,40,Matches,0000acda
256,Medhi Benatia,ma MAR,DF,Juventus,it Serie A,30,1987,19.5,1390,1366,23,20,0,9,0,3,0,0,0,0,1258,1,8,Matches,3b15ef2d
257,Lars Bender,de GER,DFMF,Leverkusen,de Bundesliga,28,1989,17.7,961,839,121,25,2,7,33,96,0,0,0,0,731,1,26,Matches,c50281a0
258,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,28,1989,26.1,1604,1548,52,50,0,3,0,2,0,0,0,0,1375,4,9,Matches,070ec0b1
259,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,19,1997,0.4,30,27,3,3,0,1,1,0,0,0,0,0,24,0,1,Matches,fe888e39
260,Nicolas Benezet,fr FRA,FWMF,Guingamp,fr Ligue 1,26,1991,18.3,990,877,107,24,3,14,115,14,65,30,27,1,718,6,32,Matches,30395d3b
261,Marcel Benger,de GER,MF,M'Gladbach,de Bundesliga,19,1998,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,379c0717
262,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28.0,775,480,294,62,0,1,0,0,0,0,0,0,587,1,1,Matches,8a2248b4
263,Charlison Benschop,cw CUW,MFDF,Hannover 96,de Bundesliga,27,1989,2.0,54,50,4,0,0,1,3,1,0,0,0,0,38,0,2,Matches,fc93fdf1
264,Ramy Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,22,1995,26.0,1449,1231,213,45,0,13,62,168,0,0,0,0,1084,5,33,Matches,378825c7
265,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,22,1994,11.2,533,517,14,13,2,7,4,1,0,0,0,0,432,2,9,Matches,3189f61a
266,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,20,1997,6.5,530,519,10,8,1,3,1,1,1,0,0,0,466,1,8,Matches,3b8674e6
267,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,26,1990,24.9,675,639,36,0,3,0,3,0,0,0,0,0,379,0,14,Matches,ab070c55
268,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,29,1987,23.9,881,832,42,2,8,10,6,0,1,0,0,0,723,7,25,Matches,70d74ece
269,Yassine Benzia,dz ALG,MFFW,Lille,fr Ligue 1,22,1994,25.4,1440,1288,136,59,20,9,85,13,55,18,26,0,1117,16,34,Matches,6fbde63a
270,Saido Berahino,bi BDI,FW,Stoke City,eng Premier League,23,1993,5.5,99,87,12,0,1,1,4,0,0,0,0,0,75,0,2,Matches,25b166d0
271,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,22,1994,25.5,986,890,94,20,16,8,120,9,64,38,17,0,642,2,50,Matches,53a0e358
272,Yuri Berchiche,es ESP,DF,Paris S-G,fr Ligue 1,27,1990,19.1,1184,1041,141,18,0,2,56,123,0,0,0,0,1024,2,28,Matches,b6e50615
273,Álex Berenguer,es ESP,FW,Torino,it Serie A,22,1995,11.6,479,417,60,23,1,4,47,8,27,11,8,1,349,2,21,Matches,dc1c2fce
274,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,25,1992,27.6,1606,1302,303,21,0,1,61,282,0,0,0,0,1271,1,56,Matches,61b3978f
275,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,26,1990,31.5,1027,858,163,73,2,6,213,3,87,31,40,6,660,6,33,Matches,f72293fc
276,Markel Bergara,es ESP,MF,Getafe,es La Liga,31,1986,16.3,397,369,23,3,0,1,5,0,0,0,0,0,278,5,6,Matches,04a65a8f
277,Emil Berggreen,dk DEN,FW,Mainz 05,de Bundesliga,24,1993,7.4,165,162,2,0,0,0,2,0,0,0,0,0,102,1,7,Matches,8be4fd6a
278,Robert Berić,si SVN,FW,Saint-Étienne,fr Ligue 1,26,1991,11.6,182,159,23,1,0,1,3,2,0,0,0,0,126,0,9,Matches,9001138b
279,Kévin Bérigaud,fr FRA,FWMF,Montpellier,fr Ligue 1,29,1988,3.0,72,71,1,0,0,0,1,0,0,0,0,0,58,0,1,Matches,3250c6cd
280,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31.0,843,536,306,73,0,5,0,0,0,0,0,0,578,1,1,Matches,ee833569
281,Federico Bernardeschi,it ITA,FWMF,Juventus,it Serie A,23,1994,9.4,380,368,9,2,4,15,25,2,5,3,1,0,304,3,12,Matches,ee93c1a9
282,Bernardo,br BRA,DF,RB Leipzig,de Bundesliga,22,1995,15.0,887,709,177,16,1,2,20,161,0,0,0,0,651,1,31,Matches,17370b95
283,Juan Bernat,es ESP,DFFW,Bayern Munich,de Bundesliga,24,1993,9.9,546,498,48,6,0,2,23,42,0,0,0,0,490,0,16,Matches,433dc9a2
284,Andrea Bertolacci,it ITA,MF,Genoa,it Serie A,26,1991,32.2,1644,1553,84,58,2,13,27,14,10,6,4,0,1309,7,34,Matches,c75b6a02
285,Ryan Bertrand,eng ENG,DF,Southampton,eng Premier League,27,1989,34.8,1954,1549,395,34,1,3,136,328,33,22,5,2,1476,10,70,Matches,01226327
286,Muhamed Bešić,ba BIH,MF,Everton,eng Premier League,24,1992,0.5,28,26,2,2,0,0,0,0,0,0,0,0,27,0,0,Matches,7ca9f0f0
287,Daniel Bessa,it ITA,MFFW,Hellas Verona,it Serie A,24,1993,15.4,685,649,32,8,0,8,21,5,6,3,0,0,549,4,16,Matches,88895312
288,Daniel Bessa,it ITA,MF,Genoa,it Serie A,24,1993,4.9,201,186,15,2,1,0,9,4,8,1,7,0,161,0,4,Matches,88895312
289,Vincent Bessat,fr FRA,DFMF,Caen,fr Ligue 1,31,1985,17.4,952,759,190,17,0,5,120,161,12,5,5,0,711,3,30,Matches,5e6342d4
290,Quentin Beunardeau,fr FRA,GK,Metz,fr Ligue 1,23,1994,0.4,20,12,8,4,0,0,0,0,0,0,0,0,11,0,0,Matches,15285503
291,Matteo Bianchetti,it ITA,DF,Hellas Verona,it Serie A,24,1993,1.4,68,53,15,1,0,0,4,14,0,0,0,0,50,0,3,Matches,b3a20f18
292,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,27,1990,6.1,296,287,8,6,0,4,0,2,0,0,0,0,252,1,5,Matches,7aac47fe
293,Pedro Bigas,es ESP,DF,Las Palmas,es La Liga,26,1990,9.9,596,566,28,22,0,10,0,6,0,0,0,0,522,2,7,Matches,697295b1
294,Lucas Biglia,ar ARG,MF,Milan,it Serie A,31,1986,22.7,1662,1590,67,59,0,16,8,6,2,1,1,0,1502,5,18,Matches,5710a281
295,Philip Billing,dk DEN,MF,Huddersfield,eng Premier League,21,1996,8.5,394,377,17,6,1,2,12,11,0,0,0,0,285,0,8,Matches,d328a254
296,Jean-Claude Billong,cm CMR,DF,Benevento,it Serie A,23,1993,3.3,159,138,20,6,0,0,1,14,0,0,0,0,142,1,1,Matches,a3e1d20d
297,Davide Biondini,it ITA,MF,Sassuolo,it Serie A,34,1983,2.3,112,107,5,2,0,3,4,3,0,0,0,0,93,0,2,Matches,b4c3070a
298,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,24,1992,33.1,1790,1336,446,73,2,5,245,280,93,31,56,0,1268,8,52,Matches,9e1577aa
299,Mame Biram Diouf,sn SEN,FWDF,Stoke City,eng Premier League,29,1987,28.8,630,584,41,0,0,0,34,33,0,0,0,0,347,5,31,Matches,7f4f3e49
300,Davide Biraschi,it ITA,DF,Genoa,it Serie A,23,1994,20.0,990,895,90,25,1,2,34,65,0,0,0,0,753,5,24,Matches,64cd167d
301,Valter Birsa,si SVN,MFFW,Chievo,it Serie A,30,1986,27.8,1513,1268,233,61,5,14,222,8,107,59,42,1,1095,12,45,Matches,455a2b79
302,Milan Biševac,rs SRB,DF,Metz,fr Ligue 1,33,1983,7.9,328,305,23,23,0,4,2,0,0,0,0,0,270,0,3,Matches,a51728e3
303,Yves Bissouma,ml MLI,MFDF,Lille,fr Ligue 1,20,1996,17.3,1042,973,61,19,9,6,8,42,0,0,0,0,876,8,20,Matches,6c203af0
304,Leonardo Bittencourt,de GER,MFFW,Köln,de Bundesliga,23,1993,17.9,689,649,37,5,0,6,57,23,8,8,0,0,492,3,34,Matches,dc62fbee
305,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,1977,32.0,1093,690,401,101,0,4,0,0,0,0,0,0,716,2,0,Matches,32b9b5fa
306,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,22,1995,21.6,819,602,209,58,0,0,0,0,0,0,0,0,507,8,1,Matches,967f34d3
307,Ludovic Blas,fr FRA,MF,Guingamp,fr Ligue 1,19,1997,19.9,975,949,20,11,1,11,7,4,2,1,0,0,829,6,16,Matches,6191093d
308,Pablo de Blasis,ar ARG,FWMF,Mainz 05,de Bundesliga,29,1988,18.4,733,718,13,5,1,9,20,8,0,0,0,0,532,2,26,Matches,9ab48bde
309,Jérémy Blayac,fr FRA,FW,Strasbourg,fr Ligue 1,34,1983,10.2,361,352,8,0,1,1,9,0,0,0,0,0,228,1,13,Matches,d9afac11
310,Alexis Blin,fr FRA,MF,Toulouse,fr Ligue 1,20,1996,21.0,774,754,16,11,0,6,15,5,0,0,0,0,597,4,11,Matches,c69ef855
311,Daley Blind,nl NED,DFMF,Manchester Utd,eng Premier League,27,1990,4.0,274,234,40,1,0,0,26,24,15,1,12,0,220,0,3,Matches,691bef82
312,Danny Blum,de GER,MFDF,Eint Frankfurt,de Bundesliga,26,1991,0.3,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches,eb61713c
313,Emmanuel Boateng,gh GHA,FW,Levante,es La Liga,21,1996,14.2,228,207,17,0,0,0,3,0,0,0,0,0,143,4,4,Matches,2e23c66b
314,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,28,1988,18.2,1445,1391,43,38,2,25,19,4,1,0,0,0,1236,11,7,Matches,2db2fd7b
315,Kevin-Prince Boateng,gh GHA,MFFW,Eint Frankfurt,de Bundesliga,30,1987,26.2,1119,1061,49,39,2,8,17,5,2,0,2,0,849,9,38,Matches,f4ec4fd0
316,Raúl Bobadilla,py PAR,FWMF,M'Gladbach,de Bundesliga,30,1987,5.0,123,115,5,0,1,0,3,1,0,0,0,0,90,3,8,Matches,9b285700
317,Yann Bodiger,fr FRA,MF,Toulouse,fr Ligue 1,22,1995,2.5,114,108,5,5,1,0,4,0,0,0,0,0,76,1,2,Matches,8c2c48a9
318,Mathieu Bodmer,fr FRA,DFMF,Amiens,fr Ligue 1,34,1982,4.4,274,259,13,13,1,1,1,0,0,0,0,0,218,2,2,Matches,f3642ba8
319,Jeremie Boga,ci CIV,MF,Chelsea,eng Premier League,20,1997,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches,fe012aca
320,Quentin Boisgard,fr FRA,MF,Toulouse,fr Ligue 1,20,1997,2.0,87,84,3,0,0,0,9,0,2,1,1,0,55,0,7,Matches,f6496133
321,Yannick Bolasie,cd COD,FW,Everton,eng Premier League,28,1989,9.5,269,258,9,0,0,1,53,4,1,1,0,0,143,2,19,Matches,715fc0fe
322,Deian Boldor,ro ROU,DF,Hellas Verona,it Serie A,22,1995,1.0,36,36,0,0,0,2,0,0,0,0,0,0,29,0,0,Matches,9b7533de
323,Giacomo Bonaventura,it ITA,MF,Milan,it Serie A,27,1989,28.2,1526,1433,89,33,6,17,78,17,38,20,8,0,1287,4,30,Matches,d995ed27
